properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  world = "inside_swivels_town",
  tileset = "oceanset_inside",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  pattern = "20",
}

tile{
  layer = 0,
  x = 280,
  y = 40,
  width = 32,
  height = 160,
  pattern = "37_2",
}

tile{
  layer = 0,
  x = 8,
  y = 8,
  width = 32,
  height = 32,
  pattern = "34_2",
}

tile{
  layer = 0,
  x = 280,
  y = 200,
  width = 32,
  height = 32,
  pattern = "38_2",
}

tile{
  layer = 0,
  x = 8,
  y = 200,
  width = 32,
  height = 32,
  pattern = "40_2",
}

tile{
  layer = 0,
  x = 8,
  y = 40,
  width = 32,
  height = 160,
  pattern = "41_2",
}

tile{
  layer = 0,
  x = 40,
  y = 200,
  width = 240,
  height = 32,
  pattern = "39_2",
}

tile{
  layer = 0,
  x = 280,
  y = 8,
  width = 32,
  height = 32,
  pattern = "36_2",
}

tile{
  layer = 0,
  x = 40,
  y = 8,
  width = 240,
  height = 32,
  pattern = "35_2",
}

tile{
  layer = 0,
  x = 312,
  y = 232,
  width = 8,
  height = 8,
  pattern = "plaster_wall_trim_5",
}

tile{
  layer = 0,
  x = 312,
  y = 8,
  width = 8,
  height = 224,
  pattern = "plaster_wall_trim_4",
}

tile{
  layer = 0,
  x = 0,
  y = 232,
  width = 8,
  height = 8,
  pattern = "plaster_wall_trim_7",
}

tile{
  layer = 0,
  x = 312,
  y = 0,
  width = 8,
  height = 8,
  pattern = "plaster_wall_trim_3",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 8,
  height = 8,
  pattern = "plaster_wall_trim_1",
}

tile{
  layer = 0,
  x = 0,
  y = 8,
  width = 8,
  height = 224,
  pattern = "plaster_wall_trim_8",
}

tile{
  layer = 0,
  x = 8,
  y = 0,
  width = 304,
  height = 8,
  pattern = "plaster_wall_trim_2",
}

tile{
  layer = 0,
  x = 240,
  y = 200,
  width = 8,
  height = 32,
  pattern = "51_4",
}

tile{
  layer = 0,
  x = 216,
  y = 200,
  width = 8,
  height = 32,
  pattern = "50_4",
}

tile{
  layer = 0,
  x = 256,
  y = 128,
  width = 24,
  height = 16,
  pattern = "80",
  tileset = "oceanset_inside",
}

tile{
  layer = 0,
  x = 216,
  y = 40,
  width = 16,
  height = 16,
  pattern = "108",
}

tile{
  layer = 0,
  x = 208,
  y = 160,
  width = 8,
  height = 8,
  pattern = "79_2",
  tileset = "oceanset_inside",
}

tile{
  layer = 0,
  x = 216,
  y = 160,
  width = 56,
  height = 8,
  pattern = "86_2",
  tileset = "oceanset_inside",
}

tile{
  layer = 0,
  x = 96,
  y = 144,
  width = 8,
  height = 8,
  pattern = "28_4",
}

tile{
  layer = 0,
  x = 48,
  y = 192,
  width = 48,
  height = 8,
  pattern = "31_4",
}

tile{
  layer = 0,
  x = 40,
  y = 144,
  width = 8,
  height = 8,
  pattern = "27_8",
}

tile{
  layer = 0,
  x = 96,
  y = 152,
  width = 8,
  height = 40,
  pattern = "29_4",
}

tile{
  layer = 0,
  x = 48,
  y = 152,
  width = 48,
  height = 40,
  pattern = "26_4",
}

tile{
  layer = 0,
  x = 40,
  y = 152,
  width = 8,
  height = 40,
  pattern = "33_4",
}

tile{
  layer = 0,
  x = 48,
  y = 144,
  width = 48,
  height = 8,
  pattern = "27_7",
}

tile{
  layer = 0,
  x = 40,
  y = 192,
  width = 8,
  height = 8,
  pattern = "32_4",
}

tile{
  layer = 0,
  x = 96,
  y = 192,
  width = 8,
  height = 8,
  pattern = "30_4",
}

tile{
  layer = 0,
  x = 88,
  y = 168,
  width = 8,
  height = 24,
  pattern = "78",
}

tile{
  layer = 0,
  x = 56,
  y = 168,
  width = 32,
  height = 24,
  pattern = "77",
}

tile{
  layer = 0,
  x = 48,
  y = 168,
  width = 8,
  height = 24,
  pattern = "76",
}

tile{
  layer = 0,
  x = 64,
  y = 152,
  width = 16,
  height = 16,
  pattern = "75",
}

tile{
  layer = 0,
  x = 256,
  y = 72,
  width = 24,
  height = 16,
  pattern = "163",
  tileset = "oceanset_inside",
}

tile{
  layer = 0,
  x = 232,
  y = 16,
  width = 48,
  height = 16,
  pattern = "159",
}

tile{
  layer = 0,
  x = 216,
  y = 120,
  width = 32,
  height = 24,
  pattern = "162",
}

tile{
  layer = 0,
  x = 272,
  y = 160,
  width = 8,
  height = 8,
  pattern = "79_2",
  tileset = "oceanset_inside",
}

tile{
  layer = 0,
  x = 184,
  y = 32,
  width = 32,
  height = 32,
  pattern = "154",
}

tile{
  layer = 0,
  x = 64,
  y = 168,
  width = 16,
  height = 16,
  pattern = "138",
}

tile{
  layer = 0,
  x = 64,
  y = 168,
  width = 16,
  height = 16,
  pattern = "147",
}

tile{
  layer = 0,
  x = 80,
  y = 168,
  width = 8,
  height = 16,
  pattern = "88",
}

tile{
  layer = 0,
  x = 152,
  y = 40,
  width = 32,
  height = 160,
  pattern = "41_2",
}

tile{
  layer = 0,
  x = 176,
  y = 24,
  width = 8,
  height = 40,
  pattern = "156",
}

tile{
  layer = 0,
  x = 216,
  y = 24,
  width = 8,
  height = 40,
  pattern = "157",
}

tile{
  layer = 0,
  x = 104,
  y = 40,
  width = 32,
  height = 160,
  pattern = "37_2",
}

tile{
  layer = 0,
  x = 152,
  y = 8,
  width = 32,
  height = 32,
  pattern = "34_2",
}

tile{
  layer = 0,
  x = 104,
  y = 8,
  width = 32,
  height = 32,
  pattern = "36_2",
}

tile{
  layer = 0,
  x = 152,
  y = 200,
  width = 32,
  height = 32,
  pattern = "40_2",
}

tile{
  layer = 0,
  x = 104,
  y = 200,
  width = 32,
  height = 32,
  pattern = "38_2",
}

tile{
  layer = 0,
  x = 144,
  y = 0,
  width = 8,
  height = 8,
  pattern = "plaster_wall_trim_1",
}

tile{
  layer = 0,
  x = 136,
  y = 0,
  width = 8,
  height = 8,
  pattern = "plaster_wall_trim_3",
}

tile{
  layer = 0,
  x = 104,
  y = 80,
  width = 32,
  height = 8,
  pattern = "54_4",
}

tile{
  layer = 0,
  x = 104,
  y = 104,
  width = 32,
