properties{
  x = 960,
  y = 480,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  world = "plains",
  tileset = "oceanset_outside",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  pattern = "grass_light",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 48,
  height = 48,
  pattern = "grass_light_2",
}

tile{
  layer = 0,
  x = 88,
  y = 40,
  width = 8,
  height = 48,
  pattern = "grass_light_edge_30",
}

tile{
  layer = 0,
  x = 32,
  y = 88,
  width = 8,
  height = 8,
  pattern = "grass_light_edge_32",
}

tile{
  layer = 0,
  x = 88,
  y = 32,
  width = 8,
  height = 8,
  pattern = "grass_light_edge_29",
}

tile{
  layer = 0,
  x = 40,
  y = 32,
  width = 48,
  height = 8,
  pattern = "grass_light_edge_34",
}

tile{
  layer = 0,
  x = 32,
  y = 40,
  width = 8,
  height = 48,
  pattern = "grass_light_edge_31",
}

tile{
  layer = 0,
  x = 32,
  y = 32,
  width = 8,
  height = 8,
  pattern = "grass_light_edge_33",
}

tile{
  layer = 0,
  x = 40,
  y = 88,
  width = 48,
  height = 8,
  pattern = "grass_light_edge_36",
}

tile{
  layer = 0,
  x = 88,
  y = 88,
  width = 8,
  height = 8,
  pattern = "grass_light_edge_35",
}

tile{
  layer = 0,
  x = 112,
  y = 96,
  width = 32,
  height = 32,
  pattern = "grass_light_2",
}

tile{
  layer = 0,
  x = 144,
  y = 96,
  width = 8,
  height = 32,
  pattern = "grass_light_edge_30",
}

tile{
  layer = 0,
  x = 144,
  y = 88,
  width = 8,
  height = 8,
  pattern = "grass_light_edge_29",
}

tile{
  layer = 0,
  x = 112,
  y = 88,
  width = 32,
  height = 8,
  pattern = "grass_light_edge_34",
}

tile{
  layer = 0,
  x = 104,
  y = 96,
  width = 8,
  height = 8,
  pattern = "grass_light_edge_31",
}

tile{
  layer = 0,
  x = 104,
  y = 88,
  width = 8,
  height = 8,
  pattern = "grass_light_edge_33",
}

tile{
  layer = 0,
  x = 112,
  y = 128,
  width = 32,
  height = 8,
  pattern = "grass_light_edge_36",
}

tile{
